,Accuracy,Precision,F1-Score,ROC AUC,MCC,Sensitivity,Specificity
Train,0.9952185792349727,0.9935838680109991,0.9967816091954023,1.0,0.9875631662250677,1.0,0.9815789473684211
Test,1.0,1.0,1.0,1.0,1.0,1.0,1.0
